player,minutes_played,passes,completed_passes,shots,dribbles,tackles,interceptions,passes_per90,pass_accuracy,shots_per90,dribbles_per90,tackles_per90,interceptions_per90
Trent Sainsbury,275,191,0,3,1,0,4,62.509090909090915,0.0,0.9818181818181819,0.32727272727272727,0.0,1.309090909090909
Tyronne Ebuehi,95,25,0,0,0,0,0,23.684210526315788,0.0,0.0,0.0,0.0,0.0
Vahid Amiri,274,71,0,2,6,0,5,23.32116788321168,0.0,0.6569343065693432,1.9708029197080292,0.0,1.6423357664233578
Valon Behrami,314,231,0,1,1,0,5,66.21019108280255,0.0,0.28662420382165604,0.28662420382165604,0.0,1.4331210191082802
Vedran Ćorluka,426,64,0,0,3,0,2,13.52112676056338,0.0,0.0,0.6338028169014085,0.0,0.4225352112676056
Victor Moses,275,120,0,7,6,0,4,39.27272727272727,0.0,2.290909090909091,1.9636363636363638,0.0,1.309090909090909
Victor Nilsson Lindelöf,343,109,0,0,1,0,2,28.60058309037901,0.0,0.0,0.2623906705539359,0.0,0.5247813411078718
Viktor Claesson,444,146,0,6,11,0,8,29.594594594594593,0.0,1.2162162162162162,2.22972972972973,0.0,1.6216216216216215
Viktor Fischer,88,8,0,1,2,0,1,8.181818181818182,0.0,1.0227272727272727,2.0454545454545454,0.0,1.0227272727272727
Vincent Kompany,457,277,0,6,0,0,1,54.55142231947484,0.0,1.1816192560175056,0.0,0.0,0.19693654266958427
Vladimir Granat,111,6,0,0,0,0,0,4.864864864864865,0.0,0.0,0.0,0.0,0.0
Vladimir Stojković,282,73,0,0,0,0,0,23.29787234042553,0.0,0.0,0.0,0.0,0.0
Víctor Yoshimar Yotún Flores,184,144,0,3,1,0,2,70.43478260869566,0.0,1.4673913043478262,0.48913043478260876,0.0,0.9782608695652175
Wahbi Khazri,264,81,0,12,3,0,1,27.613636363636367,0.0,4.090909090909091,1.0227272727272727,0.0,0.34090909090909094
Wilder José Cartagena Mendoza,89,4,0,0,0,0,0,4.044943820224719,0.0,0.0,0.0,0.0,0.0
Wilfredo Daniel Caballero,182,51,0,0,0,0,0,25.21978021978022,0.0,0.0,0.0,0.0,0.0
William Silva de Carvalho,375,251,0,1,2,0,2,60.239999999999995,0.0,0.24,0.48,0.0,0.48
William Troost-Ekong,282,119,0,2,3,0,5,37.97872340425532,0.0,0.6382978723404256,0.9574468085106383,0.0,1.5957446808510638
William Vitved Kvist Jørgensen,35,20,0,0,0,0,0,51.42857142857143,0.0,0.0,0.0,0.0,0.0
Willian Borges da Silva,367,197,0,5,15,0,3,48.310626702997276,0.0,1.226158038147139,3.6784741144414173,0.0,0.7356948228882835
